term|s1|s2|s3|s4|s5|s6|s7|s8|s9|s10
achiev|2164.733524|2309.379818|2149.170117|2137.753884|1933.350106|2204.022577|2315.891371|2114.617461|2172.68539|2209.844608
acid|3013.710139|3444.17639|3077.104431|3095.862034|3676.000175|3249.754184|3366.293311|3601.000758|3238.04484|3672.815183
action|2119.047816|2250.386025|1895.796161|1938.538939|1909.762402|1969.607897|1928.942818|1970.898835|1933.079152|2044.606714
administ|2081.519101|1845.824925|1934.950741|1894.759004|1940.672162|1883.676203|1961.552196|1857.845364|1831.998244|1847.748427
administr|2732.613388|2962.283514|2614.745865|2732.613388|2733.839991|2982.152479|2915.621296|2833.477142|2822.591839|2788.064731
advanc|2130.137814|2110.19893|2021.193061|2123.649925|2118.031566|2048.824791|1939.868795|1940.440435|2054.041142|2002.214654
affect|2332.371456|2455.252818|2439.593519|2329.224201|2338.989381|2417.55848|2403.508618|2359.874968|2343.067637|2500.752035
agent|2731.290311|2830.271851|2884.308431|2761.185461|2693.656126|2825.851435|2596.681187|2914.799771|2871.276716|2992.404564
aim|2366.080153|2495.714275|2434.853067|2369.020836|2452.543393|2398.188025|2412.960529|2423.889856|2366.154054|2397.183105
alter|2172.190429|2312.514515|2120.878352|2190.598806|2356.769375|2103.015179|2160.963682|2082.282786|2177.939204|2214.557865
anim|2487.724771|2418.511076|2349.349259|2283.824742|2406.743293|2366.87411|2401.332852|2316.265332|2524.024061|2437.854516
apoptosi|2914.519702|2917.608742|2890.371215|2845.470024|2889.637929|2825.05012|2794.910151|2893.293656|2778.13829|2949.14809
assay|2929.49087|2941.716466|2832.742137|2614.013472|2588.145386|2840.474831|2849.922515|2895.494319|2789.048643|2803.478223
assess|3365.739272|3472.75372|3335.753819|3339.557138|3281.248632|3415.406407|3300.228477|3353.241194|3282.606629|3375.881194
associ|4103.06912|4434.511913|4288.24274|4203.638316|4132.600658|4215.208708|4468.61997|4262.508831|4169.188668|4217.81384
bind|2156.431128|2289.365326|2207.368485|2207.947222|2182.616518|2341.923408|2050.68817|1999.662666|2169.300913|2171.331961
biolog|1938.851388|2101.211145|1932.700051|1881.567827|1885.932949|1901.341295|1946.475738|1865.274331|1937.048514|1733.059755
cellular|1942.559288|2037.80565|1855.630736|2110.605447|1934.841479|1990.482458|2096.091324|2021.534111|2052.335228|1942.370044
chang|3538.212572|3862.592255|3650.793386|3653.318831|3689.933438|3694.036344|3616.016108|3711.913652|3594.520391|3777.071736
character|1709.240437|1850.376739|1792.640267|1713.435837|1789.087896|1703.847842|1707.754959|1723.295814|1727.905889|1753.767141
chemotherapi|3117.766322|3478.278441|3464.291594|3272.290557|3264.392073|3374.390138|3026.179551|3340.3436|3239.533941|3245.297923
complex|1686.572965|1949.841447|2134.551737|1930.552714|1830.369214|1915.271126|1803.856306|1594.336437|1850.919342|1757.699914
compound|3008.236244|3227.87604|3084.887107|2858.600138|2854.019536|3111.897805|2735.011288|3003.684718|2581.162556|2966.984336
concentr|4320.547667|4604.420018|4383.787695|4471.571094|4263.572416|4318.745399|4463.84198|4492.694843|4213.672862|4365.460574
consid|1693.096269|1636.501976|1621.605935|1543.973305|1643.657415|1594.662128|1494.610939|1596.096176|1565.144926|1562.793859
cultur|2277.187851|2195.273824|2104.932912|2095.856232|2243.559073|2215.961549|2243.097878|1980.308788|2244.140773|2033.603076
current|2308.139425|2376.842065|2403.968164|2321.835728|2278.081218|2253.537149|2452.043336|2276.061438|2184.745693|2354.859886
cycl|2214.806553|2369.143979|1879.183875|2095.926744|2024.016174|2170.293073|2256.758986|2236.596267|2336.176461|2060.322776
cytokin|2250.365117|2204.126521|1988.723484|2241.573767|2203.186859|2243.655376|2085.253266|2242.26977|2297.133146|2287.477615
damag|2189.685808|2140.541242|2205.610934|2224.40071|1956.241315|2120.111195|2366.489335|2245.922555|2326.053887|2400.413895
depend|1976.402791|2028.421327|2011.631337|1988.271633|1887.165083|1848.509012|1759.992829|1857.43131|1723.55745|2000.63498
describ|1637.050357|1613.739456|1518.467485|1505.947759|1522.456557|1586.201667|1533.116165|1528.843069|1632.650288|1556.35001
differenti|2301.675705|2393.093445|2237.32645|2082.508938|2442.965068|2228.85827|2093.884865|2163.405865|2139.485961|2142.759116
direct|1913.674865|2000.747407|1779.70029|1937.183122|1789.807704|1790.079064|1818.777998|1874.916261|1799.221701|1837.758283
dna|3008.626875|2644.402816|2692.1658|2759.083938|2712.342996|2720.730971|2779.066788|2918.423132|2969.777814|2744.324899
dose|5842.395383|6024.408955|5930.46189|5976.064287|6133.428654|5938.044793|6017.327093|5967.581186|5915.298415|5810.95915
drug|5489.245327|5809.369316|5580.770339|5372.132048|5500.0788|5274.216932|5476.844879|5536.252308|5311.666261|5685.360332
drug_nam|6253.214011|6365.545681|6632.018005|6779.439778|6853.582771|6738.610532|6790.874407|6452.661892|6828.932757|6240.551569
efficaci|3193.496746|3356.276162|3461.075112|3162.916232|3110.030261|3328.64846|3275.824891|3217.788614|3293.58266|3220.023687
