term|s1|s2|s3|s4|s5|s6|s7|s8|s9|s10
95%|1925.680843|1949.418679|1899.861603|1669.151855|1968.665358|1939.016926|2077.183055|1984.782386|1833.440647|2039.46737
abil|684.2577426|705.8405738|640.1523668|635.1504267|627.890464|698.7272343|661.8662593|755.0131299|715.2069252|679.2748702
accord|590.2421805|647.8490377|649.8902996|672.3799031|624.1422446|671.8074662|672.0488379|632.5396173|627.4928684|670.4676356
accur|673.137566|664.7761952|775.4826986|711.1013225|668.9151414|767.3183605|686.2321882|716.4092977|734.6678197|677.4718573
accuraci|815.704501|1004.622193|970.2275744|961.3716362|963.755435|960.9438854|959.71978|972.7294101|977.1583776|1043.495268
adjust|885.368911|868.0815364|923.3942946|854.8363237|837.5342981|778.6921985|848.6097266|839.1034045|820.3309573|816.0381514
allow|547.2767444|521.3920335|521.1284745|608.6398491|558.9208614|557.8539173|504.1773412|529.9871988|469.6467967|549.2644981
appli|610.2504332|630.8896388|605.3954989|611.8546884|558.9208614|599.5269624|555.4423878|620.6666844|567.2419533|607.0469497
applic|486.2994187|472|510.3544465|591.4546483|515.0413063|547.84731|500.3937946|542.5397697|512.8543603|538.3668899
area|962.1016446|999.559404|1113.906111|982.7224597|989.3151828|1041.167973|974.1856031|956.9193204|954.341664|1102.562934
arteri|913.5489838|984.0043467|948.1636587|929.9358404|1011.180173|939.6634532|933.6231999|870.6476007|939.6634532|1040.655849
assess|1380.426621|1353.013308|1426.554462|1406.408338|1433.432987|1396.035282|1443.862246|1395.164257|1329.923153|1389.376594
associ|1779.962134|1757.816838|1621.367231|1640.248937|1787.092234|1712.551316|1799.926762|1742.474605|1827.074743|1636.630512
auc|978.9716432|949.4728439|812|958.524379|881.2964656|982.0458358|1093.96175|893.7573771|1014.557676|1006.900637
best|604.7269767|597.2536324|637.0296704|615.3679917|549.2644981|516.8501368|561.9349032|553.8426816|572.5440973|536.3439044
better|714.4465695|709.5509712|735.0200935|718.3779556|730.234641|693.5256928|710.8016119|697.3647617|635.7592607|706.4085345
biomark|1089.169779|1352.778877|1161.556222|1159.230148|1140.471469|1234.320186|1387.135286|1195.788467|1274.879347|1220.389864
bodi|484.2382161|552.4825845|658.9415398|537.9516769|736.4906755|657.1242921|525.1480344|564.1397963|625.126471|671.3110966
calcul|809.5545654|753|721.9156505|828.4384696|727.5227776|844.6687119|841.9252849|754.7907138|794.4259151|795.287595
cardiac|1195.225083|901.5142222|1108.124905|1053.437606|1060.885755|896.863682|1137.266904|1107.950141|1176.186601|1195.044008
cardiovascular|1243.034858|1334.472888|1557.185253|1423.906539|1494.981292|1370.022237|1401.972795|1512.531275|1175.140757|1206.287236
care|883.8320735|1046.932667|925.811895|1013.809913|869.6459111|884.8195896|958.1050538|863.0759734|789.4265118|943.0429669
characterist|948.4191554|994.9171572|1048.952784|970.2204271|920.4840162|1030.536839|965.3289095|1004.20533|976.7950697|1051.780882
classif|652.8420447|623.918663|676.0178438|645.5424956|660.5109882|573.9927565|613.7185087|644|657.7000335|736.6434461
classifi|599.1271929|513.4704008|630.5177151|613.7185087|545.3449528|609.6592323|570.2026151|566.4807454|593.7181606|644.3482343
cohort|1267.132699|1184.234262|1213.546256|1287.666868|1112.224097|1324.997349|1245.373095|1161.152552|1325.855587|1330.231475
collect|617.1685883|596.5205713|644.190068|655.4959109|608.7965972|547.6157175|609.9945404|562.6520841|540.2743866|607.1464803
complic|928.64094|781.0179845|1216.511864|854.6182669|1037.072829|877.3871255|834.7136046|920.1845324|772|905.1389287
confid|754.4379185|799.5365976|782.347932|725.8934747|714.6762145|741.9308159|833.8447503|797.5233326|784.8833706|778.1065591
consecut|490.4621689|501.9861818|463.1580746|492.5485659|462.5852972|494.8552603|487.9961002|445.7887901|454.5246795|474.7222985
consid|660.8789298|670.7069422|721.3162703|719.1938362|573.4548588|653.5284619|622.4351018|642.3134798|642.9062295|566.4700223
coronari|1162.938258|1049.535283|1151.096135|1084.031047|1081.90827|1266.603529|1278.645524|1035.906648|1297.438832|1205.725397
cox|572.0249912|527.4692206|586.7880755|518.4181965|567.7872997|564.276438|586.2285265|556.1133283|586.9408892|583.5643123
criteria|686.9044454|809.9165304|722.5541033|703.5111497|711.3573442|720.4197251|726.369522|777.6296947|547.4104712|742.4052009
